Epoch,Loss_mean_Dev,Loss_mean_Train,Model,Optimizer,Learning_Rate,Train_Size
1,2.28,2.31,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
2,2.18,2.24,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
3,1.97,2.08,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
4,1.64,1.81,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
5,1.26,1.44,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
6,1.0,1.13,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
7,0.84,0.92,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
8,0.74,0.8,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
9,0.67,0.71,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
10,0.62,0.66,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
11,0.57,0.57,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
12,0.55,0.56,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
13,0.51,0.52,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
14,0.49,0.5,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
15,0.46,0.47,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
16,0.44,0.45,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
17,0.43,0.43,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
18,0.42,0.42,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
19,0.41,0.4,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
20,0.39,0.39,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
21,0.39,0.4,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
22,0.38,0.39,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
23,0.37,0.38,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
24,0.37,0.37,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
25,0.37,0.35,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",ASGD,0.01,10000
1,2.29,2.31,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
2,2.19,2.25,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
3,2.0,2.1,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
4,1.73,1.88,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
5,1.44,1.58,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
6,1.18,1.32,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
7,1.0,1.09,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
8,0.87,0.94,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
9,0.78,0.83,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
10,0.72,0.76,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
11,0.67,0.7,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
12,0.63,0.66,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
13,0.6,0.62,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
14,0.57,0.6,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
15,0.54,0.56,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
16,0.52,0.55,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
17,0.51,0.52,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
18,0.49,0.51,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
19,0.47,0.5,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
20,0.46,0.46,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
21,0.45,0.46,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
22,0.44,0.46,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
23,0.43,0.43,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
24,0.42,0.43,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
25,0.41,0.42,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adadelta,0.01,10000
1,0.55,0.81,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
2,0.44,0.45,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
3,0.38,0.38,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
4,0.35,0.34,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
5,0.34,0.32,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
6,0.32,0.3,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
7,0.31,0.29,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
8,0.3,0.27,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
9,0.28,0.26,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
10,0.28,0.25,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
11,0.28,0.26,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
12,0.27,0.26,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
13,0.26,0.23,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
14,0.26,0.23,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
15,0.26,0.23,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
16,0.25,0.23,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
17,0.25,0.23,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
18,0.24,0.22,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
19,0.24,0.22,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
20,0.24,0.22,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
21,0.23,0.21,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
22,0.23,0.21,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
23,0.22,0.2,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
24,0.22,0.21,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
25,0.22,0.19,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adagrad,0.01,10000
1,0.66,1.83,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
2,0.38,0.45,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
3,0.29,0.3,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
4,0.27,0.25,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
5,0.23,0.21,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
6,0.25,0.19,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
7,0.22,0.17,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
8,0.2,0.17,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
9,0.21,0.15,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
10,0.2,0.15,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
11,0.19,0.12,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
12,0.18,0.13,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
13,0.18,0.11,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
14,0.17,0.12,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
15,0.17,0.12,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
16,0.16,0.11,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
17,0.17,0.11,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
18,0.16,0.09,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
19,0.17,0.1,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
20,0.16,0.09,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
21,0.16,0.08,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
22,0.16,0.09,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
23,0.15,0.08,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
24,0.16,0.08,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
25,0.16,0.08,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",Adam,0.01,10000
1,0.59,1.3,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
2,0.38,0.4,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
3,0.28,0.3,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
4,0.26,0.25,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
5,0.26,0.21,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
6,0.22,0.19,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
7,0.2,0.16,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
8,0.2,0.16,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
9,0.19,0.14,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
10,0.2,0.13,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
11,0.17,0.12,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
12,0.18,0.12,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
13,0.17,0.12,"[[Flatten(start_dim=1, end_dim=-1), Linear(in_features=784, out_features=100, bias=True), ReLU(), Linear(in_features=100, out_features=10, bias=True), ReLU(), Linear(in_features=10, out_features=10, bias=True)]]",AdamW,0.01,10000
